Team,Year,OA,AT,MD,DF,CW
Man City,2024,87,86,83,29,26.18
Arsenal,2024,82,84,82,33,24.00
Liverpool,2024,84,81,84,33,26.09
Man United,2024,80,83,78,33,26.73
Tottenham,2024,81,81,79,33,23.91
Aston Villa,2024,82,80,79,33,25.82
Chelsea,2024,78,79,79,33,24.36
Newcastle,2024,80,80,81,32,27.64
West Ham,2024,78,79,78,33,28.00
Everton,2024,79,76,75,28,26.27
Nott'm Forest,2024,75,78,75,33,25.55
Brighton,2024,74,77,79,29,26.09
Wolves,2024,77,77,76,28,26.27
Fulham,2024,75,77,76,33,28.91
Crystal Palace,2024,75,76,76,33,27.00
Brentford,2024,76,76,76,31,25.45
Bournemouth,2024,75,76,74,32,24.18
Burnley,2024,69,74,73,33,24.18
Sheffield United,2024,72,74,73,33,26.27
Luton,2024,71,73,72,29,26.73
Man City,2023,85,87,83,26,27.73
Liverpool,2023,84,81,85,33,26.55
Arsenal,2023,82,84,81,32,24.18
Chelsea,2023,82,81,82,33,25.18
Man United,2023,81,84,81,33,26.91
Tottenham,2023,84,80,79,28,26.36
Newcastle,2023,79,80,80,33,26.91
Aston Villa,2023,79,78,79,32,26.55
West Ham,2023,78,79,78,32,28.73
Leicester,2023,77,80,76,33,24.45
Wolves,2023,77,78,76,33,26.82
Nott'm Forest,2023,75,76,77,33,26.09
Brighton,2023,75,77,78,28,27.18
Everton,2023,77,76,76,28,26.73
Crystal Palace,2023,76,76,76,31,25.82
Fulham,2023,79,76,75,31,27.45
Leeds,2023,75,76,74,30,27.00
Southampton,2023,76,74,75,29,23.91
Brentford,2023,74,75,76,30,24.64
Bournemouth,2023,75,73,73,29,25.64
Liverpool,2022,86,84,85,33,27.73
Man City,2022,84,87,86,32,26.09
Chelsea,2022,84,85,83,33,27.36
Man United,2022,82,83,81,33,26.18
Tottenham,2022,83,81,78,33,25.45
Arsenal,2022,77,80,77,33,22.82
Leicester,2022,80,80,78,31,24.09
West Ham,2022,80,79,77,33,27.82
Aston Villa,2022,79,78,79,33,25.45
Everton,2022,78,78,77,33,25.73
Wolves,2022,78,80,78,33,27.73
Newcastle,2022,78,77,77,33,27.00
Burnley,2022,77,75,76,33,26.36
Crystal Palace,2022,77,76,75,33,26.45
Leeds,2022,77,77,75,32,26.00
Brighton,2022,75,73,77,33,24.82
Southampton,2022,75,76,76,32,25.45
Watford,2022,74,75,74,33,28.45
Brentford,2022,74,75,74,33,25.27
Norwich,2022,75,73,73,33,25.55
Liverpool,2021,86,83,80,33,25.91
Man City,2021,85,86,83,30,25.27
Chelsea,2021,82,84,82,29,26.00
Man United,2021,83,82,82,33,24.45
Tottenham,2021,89,82,81,33,26.82
Arsenal,2021,83,79,79,33,24.73
Leicester,2021,80,81,79,32,25.73
Everton,2021,81,79,80,33,26.82
Wolves,2021,77,81,78,33,25.45
West Ham,2021,79,79,77,33,27.73
Aston Villa,2021,77,77,77,29,24.18
Burnley,2021,75,76,77,33,27.36
Crystal Palace,2021,77,75,75,33,28.55
Leeds,2021,78,76,75,33,25.09
Newcastle,2021,77,75,74,33,26.91
Southampton,2021,77,77,76,31,26.09
Brighton,2021,75,76,76,33,25.64
Fulham,2021,74,75,74,33,24.45
Sheffield United,2021,71,74,73,33,26.64
West Brom,2021,74,74,72,30,25.64
Liverpool,2020,87,83,85,33,25.73
Man City,2020,87,86,83,33,27.45
Tottenham,2020,85,82,82,33,25.45
Chelsea,2020,80,84,81,33,26.64
Man United,2020,83,81,81,33,23.91
Arsenal,2020,84,82,78,33,26.09
Leicester,2020,80,79,79,33,25.18
Everton,2020,80,78,79,33,24.82
West Ham,2020,82,78,73,33,25.91
Wolves,2020,79,79,78,33,26.64
Watford,2020,76,78,75,33,27.64
Crystal Palace,2020,73,77,76,33,29.18
Newcastle,2020,75,78,77,33,26.00
Aston Villa,2020,77,75,75,33,25.09
Burnley,2020,77,76,76,32,27.45
Brighton,2020,75,76,76,33,26.55
Southampton,2020,76,76,76,33,25.91
Bournemouth,2020,78,76,76,33,24.55
Sheffield United,2020,73,77,75,33,26.27
Norwich,2020,75,74,72,33,25.36
Man City,2019,86,88,82,33,26.27
Chelsea,2019,85,83,82,33,26.64
Liverpool,2019,86,82,82,33,25.18
Tottenham,2019,86,82,83,33,26.55
Arsenal,2019,82,83,80,33,26.73
Man United,2019,83,83,80,33,25.82
Everton,2019,77,80,79,33,24.73
West Ham,2019,78,78,77,33,28.09
Leicester,2019,78,76,79,33,24.82
Watford,2019,78,78,77,31,28.27
Burnley,2019,77,75,77,33,26.64
Crystal Palace,2019,79,77,76,33,26.73
Wolves,2019,75,80,76,33,25.73
Bournemouth,2019,79,76,77,33,26.27
Newcastle,2019,75,77,76,33,25.82
Brighton,2019,76,77,76,33,26.73
Southampton,2019,75,77,74,33,24.36
Fulham,2019,78,76,73,33,25.00
Huddersfield,2019,72,73,75,33,24.82
Cardiff,2019,73,73,72,33,27.82
